0,0,0,0
1,1,0,0
2,2,0,0
3,3,0,0
4,4,0,0
5,5,0,0
6,6,0,0
7,7,0,0
8,8,0,0
9,9,0,0
10,10,0,0
11,11,0,0
12,12,0,0
13,13,0,0
14,14,0,0
15,15,0,0
16,16,0,0
17,17,0,0
18,0,1,0
19,1,1,0
20,2,1,0
21,3,1,55
22,4,1,0
23,5,1,22
24,6,1,33
25,7,1,22
26,8,1,22
27,9,1,11
28,10,1,11
29,11,1,11
30,12,1,11
31,13,1,0
32,14,1,22
33,15,1,0
34,16,1,0
35,17,1,0
36,0,2,0
37,1,2,0
38,2,2,0
39,3,2,22
40,4,2,0
41,5,2,11
42,6,2,0
43,7,2,22
44,8,2,22
45,9,2,11
46,10,2,33
47,11,2,0
48,12,2,0
49,13,2,11
50,14,2,22
51,15,2,22
52,16,2,0
53,17,2,0
54,0,3,0
55,1,3,0
56,2,3,0
57,3,3,0
58,4,3,0
59,5,3,77
60,6,3,0
61,7,3,22
62,8,3,22
63,9,3,33
64,10,3,0
65,11,3,44
66,12,3,11
67,13,3,0
68,14,3,22
69,15,3,55
70,16,3,0
71,17,3,0
72,0,4,0
73,1,4,0
74,2,4,22
75,3,4,44
76,4,4,11
77,5,4,11
78,6,4,22
79,7,4,22
80,8,4,0
81,9,4,33
82,10,4,22
83,11,4,33
84,12,4,0
85,13,4,33
86,14,4,22
87,15,4,33
88,16,4,0
89,17,4,0
90,0,5,0
91,1,5,0
92,2,5,0
93,3,5,0
94,4,5,11
95,5,5,11
96,6,5,33
97,7,5,22
98,8,5,0
99,9,5,0
100,10,5,0
101,11,5,0
102,12,5,0
103,13,5,11
104,14,5,0
105,15,5,0
106,16,5,0
107,17,5,0
108,0,6,0
109,1,6,0
110,2,6,0
111,3,6,0
112,4,6,0
113,5,6,22
114,6,6,11
115,7,6,0
116,8,6,11
117,9,6,11
118,10,6,11
119,11,6,0
120,12,6,0
121,13,6,0
122,14,6,11
123,15,6,0
124,16,6,0
125,17,6,0
126,0,7,0
127,1,7,0
128,2,7,0
129,3,7,0
130,4,7,0
131,5,7,0
132,6,7,0
133,7,7,11
134,8,7,0
135,9,7,0
136,10,7,11
137,11,7,0
138,12,7,0
139,13,7,0
140,14,7,0
141,15,7,0
142,16,7,0
143,17,7,0
144,0,8,0
145,1,8,0
146,2,8,11
147,3,8,0
148,4,8,0
149,5,8,11
150,6,8,33
151,7,8,0
152,8,8,11
153,9,8,11
154,10,8,11
155,11,8,11
156,12,8,11
157,13,8,22
158,14,8,0
159,15,8,0
160,16,8,0
161,17,8,0
162,0,9,0
163,1,9,0
164,2,9,11
165,3,9,22
166,4,9,22
167,5,9,11
168,6,9,11
169,7,9,0
170,8,9,0
171,9,9,11
172,10,9,0
173,11,9,22
174,12,9,33
175,13,9,0
176,14,9,11
177,15,9,0
178,16,9,0
179,17,9,0
180,0,10,0
181,1,10,0
182,2,10,0
183,3,10,0
184,4,10,0
185,5,10,0
186,6,10,0
187,7,10,0
188,8,10,0
189,9,10,0
190,10,10,0
191,11,10,0
192,12,10,0
193,13,10,0
194,14,10,0
195,15,10,0
196,16,10,0
197,17,10,0
198,0,11,0
199,1,11,0
200,2,11,0
201,3,11,0
202,4,11,0
203,5,11,0
204,6,11,0
205,7,11,0
206,8,11,0
207,9,11,0
208,10,11,0
209,11,11,0
210,12,11,0
211,13,11,0
212,14,11,0
213,15,11,0
214,16,11,0
215,17,11,0
